payment_id_pk,customer_id_fk,payment_method,date_payment,amount
1,6160,from terminal,2020-04-01 01:02 AM,90.0
2,10469,bank card,2020-08-01 01:08 AM,90.0
3,10378,from terminal,2020-04-01 01:13 AM,24.0
4,7198,bank card,2020-12-01 01:20 AM,22.0
5,615,from terminal,2020-09-01 01:25 AM,24.0
6,2189,bank card,2020-07-01 01:29 AM,28.0
7,10021,from terminal,2020-01-01 01:43 AM,25.0
8,7891,bank card,2020-10-01 01:48 AM,24.0
9,8542,from terminal,2020-03-01 01:52 AM,50.0
10,6289,from another phone,2020-12-01 01:54 AM,25.0
11,10996,bank card,2020-05-01 01:55 AM,24.0
12,2510,from terminal,2020-09-01 01:59 AM,50.0
13,9541,bank card,2020-04-01 02:05 AM,22.0
14,1715,from terminal,2020-01-01 02:06 AM,28.0
15,1821,bank card,2020-05-01 02:08 AM,140.0
16,7489,bank card,2020-08-01 02:12 AM,20.0
17,4448,from another phone,2020-02-01 02:13 AM,25.0
18,11602,bank card,2020-01-01 02:14 AM,26.0
19,9291,from terminal,2020-09-01 02:18 AM,27.0
20,10341,bank card,2020-12-01 02:18 AM,15.0
21,5321,from terminal,2020-08-01 02:24 AM,50.0
22,2286,from terminal,2020-07-01 02:24 AM,90.0
23,447,from terminal,2020-08-01 02:40 AM,90.0
24,8606,bank card,2020-04-01 02:41 AM,28.0
25,6019,bank card,2020-01-01 02:41 AM,25.0
26,8398,bank card,2020-04-01 02:46 AM,90.0
27,7474,bank card,2020-01-01 02:51 AM,22.0
28,994,bank card,2020-09-01 02:51 AM,20.0
29,6250,bank card,2020-04-01 02:51 AM,90.0
30,4834,bank card,2020-03-01 03:00 AM,19.0
31,9119,bank card,2020-12-01 03:06 AM,24.0
32,2608,bank card,2020-07-01 03:07 AM,90.0
33,2339,from another phone,2020-02-01 03:08 AM,20.0
34,3672,bank card,2020-10-01 03:08 AM,50.0
35,1683,from another phone,2020-04-01 03:09 AM,10.0
36,6706,bank card,2020-05-01 03:10 AM,140.0
37,6613,bank card,2020-05-01 03:13 AM,26.0
38,9695,bank card,2020-09-01 03:14 AM,15.0
39,1313,bank card,2020-10-01 03:21 AM,24.0
40,3861,bank card,2020-07-01 03:27 AM,17.0
41,8529,from terminal,2020-10-01 03:29 AM,15.0
42,10600,from another phone,2020-10-01 03:31 AM,17.0
43,11170,bank card,2020-07-01 03:39 AM,26.0
44,11701,from terminal,2020-08-01 03:44 AM,90.0
45,8825,bank card,2020-09-01 03:44 AM,25.0
46,13680,bank card,2020-09-01 03:49 AM,23.0
47,908,bank card,2020-12-01 03:54 AM,23.0
48,12523,bank card,2020-01-01 04:04 AM,50.0
49,5593,bank card,2020-03-01 04:07 AM,20.0
50,8136,bank card,2020-05-01 04:08 AM,23.0
51,6131,bank card,2020-05-01 04:08 AM,27.0
52,1952,bank card,2020-01-01 04:17 AM,23.0
53,2055,from terminal,2020-02-01 04:18 AM,50.0
54,10179,bank card,2020-03-01 04:19 AM,25.0
55,4787,bank card,2020-05-01 04:20 AM,18.0
56,5353,bank card,2020-04-01 04:22 AM,20.0
57,10606,bank card,2020-09-01 04:26 AM,25.0
58,5418,bank card,2020-10-01 04:33 AM,26.0
59,5793,bank card,2020-07-01 04:38 AM,23.0
60,12084,bank card,2020-03-01 04:39 AM,140.0
61,7655,bank card,2020-12-01 04:39 AM,50.0
62,3615,from another phone,2020-10-01 04:39 AM,23.0
63,2166,from terminal,2020-11-01 04:46 AM,15.0
64,3751,from terminal,2020-05-01 05:20 AM,27.0
65,1049,from terminal,2020-11-01 05:31 AM,27.0
66,13934,bank card,2020-07-01 05:35 AM,26.0
67,6303,bank card,2020-08-01 05:51 AM,19.0
68,9596,from another phone,2020-07-01 05:56 AM,23.0
69,3444,bank card,2020-06-01 06:01 AM,10.0
70,2676,from terminal,2020-10-01 06:02 AM,22.0
71,340,bank card,2020-07-01 06:04 AM,10.0
72,82,bank card,2020-02-01 06:05 AM,22.0
73,9032,bank card,2020-07-01 06:09 AM,16.0
74,4329,bank card,2020-08-01 06:23 AM,23.0
75,10686,bank card,2020-03-01 06:25 AM,50.0
76,6232,from terminal,2020-11-01 06:26 AM,22.0
77,1426,bank card,2020-02-01 06:26 AM,25.0
78,7756,bank card,2020-02-01 06:27 AM,21.0
79,4549,bank card,2020-11-01 06:32 AM,20.0
80,13439,from terminal,2020-10-01 06:36 AM,23.0
81,12130,bank card,2020-11-01 06:48 AM,20.0
82,8445,from terminal,2020-03-01 06:49 AM,26.0
83,3976,from terminal,2020-04-01 06:54 AM,22.0
84,9158,from terminal,2020-04-01 06:55 AM,24.0
85,4527,bank card,2020-02-01 07:02 AM,24.0
86,5928,bank card,2020-07-01 07:04 AM,24.0
87,10347,from terminal,2020-09-01 07:11 AM,140.0
88,7649,bank card,2020-02-01 07:11 AM,15.0
89,10771,bank card,2020-03-01 07:11 AM,50.0
90,9530,bank card,2020-02-01 07:17 AM,24.0
91,7400,bank card,2020-06-01 07:24 AM,22.0
92,2220,bank card,2020-12-01 07:32 AM,21.0
93,10880,from terminal,2020-02-01 07:39 AM,16.0
94,13782,bank card,2020-05-01 07:46 AM,10.0
95,6881,from terminal,2020-06-01 07:50 AM,140.0
96,4876,bank card,2020-12-01 07:57 AM,23.0
97,1741,from terminal,2020-03-01 07:58 AM,15.0
98,7818,from terminal,2020-04-01 08:00 AM,24.0
99,1540,bank card,2020-01-01 08:03 AM,25.0
100,11287,bank card,2020-08-01 08:03 AM,28.0
101,9286,bank card,2020-01-01 08:13 AM,22.0
102,8263,bank card,2020-08-01 08:21 AM,23.0
103,12776,bank card,2020-10-01 08:25 AM,25.0
104,11213,bank card,2020-11-01 08:28 AM,50.0
105,7981,bank card,2020-04-01 08:32 AM,15.0
106,252,bank card,2020-10-01 08:35 AM,10.0
107,6317,bank card,2020-02-01 08:39 AM,24.0
108,337,bank card,2020-10-01 08:42 AM,22.0
109,1509,bank card,2020-08-01 08:43 AM,21.0
110,3886,bank card,2020-10-01 08:45 AM,50.0
111,1816,bank card,2020-09-01 08:46 AM,25.0
112,5010,bank card,2020-10-01 09:06 AM,25.0
113,56,bank card,2020-05-01 09:15 AM,27.0
114,223,bank card,2020-02-01 09:17 AM,90.0
115,13931,bank card,2020-10-01 09:30 AM,21.0
116,875,from another phone,2020-03-01 09:30 AM,26.0
117,10038,bank card,2020-11-01 09:36 AM,20.0
118,10044,bank card,2020-03-01 09:39 AM,90.0
119,11577,from terminal,2020-06-01 09:42 AM,20.0
120,6814,bank card,2020-12-01 09:49 AM,50.0
121,12240,bank card,2020-09-01 09:50 AM,20.0
122,6925,bank card,2020-10-01 09:51 AM,90.0
123,13032,from another phone,2020-06-01 09:56 AM,15.0
124,162,bank card,2020-04-01 09:56 AM,50.0
125,11199,bank card,2020-10-01 09:57 AM,15.0
126,9821,bank card,2020-12-01 09:59 AM,27.0
127,2870,bank card,2020-06-01 10:05 AM,24.0
128,5252,bank card,2020-04-01 10:10 AM,140.0
129,12293,from terminal,2020-11-01 10:13 AM,23.0
130,1735,bank card,2020-05-01 10:15 AM,21.0
131,13759,bank card,2020-05-01 10:16 AM,25.0
132,10592,from terminal,2020-11-01 10:20 AM,50.0
133,11749,from terminal,2020-07-01 10:21 AM,23.0
134,1074,bank card,2020-09-01 10:22 AM,21.0
135,1436,bank card,2020-11-01 10:25 AM,21.0
136,454,from terminal,2020-09-01 10:25 AM,20.0
137,5830,bank card,2020-09-01 10:25 AM,28.0
138,13794,bank card,2020-02-01 10:26 AM,19.0
139,13385,bank card,2020-04-01 10:28 AM,22.0
