event_id_pk,product_instance_id_fk,calling_msisdn,called_msisdn,date,cost,duration,number_of_sms,number_of_data,event_type,direction,roaming
1000,931,1209,946,2020-01-02 03:06 PM,0.0,182,,,call,incoming,0
1001,704,1323,415,2021-01-02 01:04 PM,0.8999999999999999,166,,,call,incoming,0
1002,316,173,1134,2021-05-02 08:38 PM,0.0,160,,,call,incoming,0
1003,431,302,631,2021-01-02 09:09 PM,0.0,114,,,call,incoming,1
1004,742,852,914,2020-07-03 06:38 AM,0.02,,1,,sms,incoming,0
1005,182,910,948,2021-11-03 04:32 AM,88960.0,,,2224,data,,0
1006,519,1043,220,2020-06-04 12:07 AM,0.02,,1,,sms,incoming,0
1007,807,261,1069,2020-12-04 12:13 PM,0.0,225,,,call,outgoing,0
1008,682,675,159,2021-11-04 08:31 AM,0.0,,1,,sms,incoming,0
1009,914,1359,337,2021-03-06 06:47 AM,180270.0,,,2003,data,,0
1010,833,384,1001,2021-01-07 12:54 PM,0.0,,,811,data,,0
1011,326,352,822,2020-01-08 06:16 PM,174.60000000000002,,,3492,data,,0
1012,195,895,204,2021-03-08 09:29 AM,0.0,,,2808,data,,1
1013,691,662,1353,2021-09-08 12:16 AM,1.2,197,,,call,outgoing,0
1014,704,549,1378,2020-01-09 05:22 AM,0.8999999999999999,139,,,call,incoming,1
1015,359,205,572,2020-08-10 02:23 PM,0.0,,,3652,data,,0
1016,294,1122,1015,2020-01-10 11:41 PM,0.0,,1,,sms,incoming,0
1017,736,1017,745,2021-11-10 07:13 PM,319770.0,,,3553,data,,0
1018,435,230,934,2020-02-12 10:44 AM,296010.0,,,3289,data,,1
1019,34,854,1203,2020-04-12 05:16 PM,0.0,87,,,call,outgoing,1
1020,916,1272,1151,2021-02-12 03:11 PM,0.0,,,598,data,,0
1021,858,505,178,2020-07-13 08:28 AM,0.6,89,,,call,incoming,0
1022,432,1233,766,2020-06-14 02:27 PM,131.70000000000002,,,2634,data,,0
1023,595,107,768,2020-04-15 08:26 AM,0.0,,,4319,data,,0
1024,655,1045,336,2020-08-16 08:20 AM,0.0,242,,,call,outgoing,1
1025,366,19,819,2020-04-18 05:12 PM,0.0,274,,,call,outgoing,1
1026,773,1115,724,2021-11-18 03:33 PM,0.0,62,,,call,outgoing,0
1027,312,1008,1299,2021-04-18 04:41 PM,0.0,,,4288,data,,1
1028,586,344,1080,2021-01-19 07:06 AM,0.02,,1,,sms,outgoing,1
1029,905,443,264,2021-09-19 04:20 PM,1.2,196,,,call,outgoing,1
1030,497,89,797,2020-06-20 11:08 AM,110880.0,,,2772,data,,1
1031,27,543,430,2020-06-20 01:24 PM,0.0,,1,,sms,outgoing,0
1032,613,1318,1095,2021-07-20 06:20 AM,0.0,141,,,call,outgoing,1
1033,684,1086,103,2020-01-21 01:00 AM,0.0,153,,,call,outgoing,0
1034,851,594,316,2020-10-21 02:13 PM,1.2,216,,,call,incoming,1
1035,720,338,688,2021-11-21 03:46 PM,0.0,242,,,call,outgoing,0
1036,560,448,867,2020-01-23 07:15 AM,0.0,207,,,call,incoming,0
1037,752,1091,436,2020-05-24 08:20 PM,225170.0,,,2047,data,,0
1038,671,516,1127,2021-01-25 04:35 PM,0.0,,1,,sms,outgoing,0
1039,516,1167,352,2021-01-25 09:47 PM,0.0,,1,,sms,incoming,0
1040,954,46,563,2020-07-26 07:34 AM,0.0,204,,,call,incoming,0
1041,122,1100,232,2020-06-26 09:32 AM,0.0,,,2677,data,,1
1042,355,425,339,2020-02-26 01:18 PM,1.5,259,,,call,outgoing,0
1043,355,913,1380,2020-03-26 03:11 PM,0.8999999999999999,157,,,call,outgoing,0
1044,299,734,1187,2021-07-26 07:21 PM,0.0,85,,,call,outgoing,0
1045,209,973,310,2021-07-28 03:22 AM,0.0,30,,,call,outgoing,0
1046,201,714,1133,2021-10-29 05:14 AM,0.0,,1,,sms,incoming,1
1047,598,655,1110,2021-05-30 01:42 AM,0.8999999999999999,125,,,call,incoming,1
1048,18,790,1297,2021-10-31 02:26 PM,0.0,,1,,sms,outgoing,0
